word;level;kana reading;TranslationEng;TranslationRus;SpecialReading;KanaOnly;check this;;
成人;3;せい・じん;an adult;взрослый;0;0;;;
制度;3;せい・ど;a system;система, строй, режим, порядок;0;0;;;
青年;3;せい・ねん;a young man;юноша, молодой человек, молодежь;0;0;;;
政府;3;せい・ふ;the government;правительство;0;0;;;
性別;4;せい・べつ;the distinction of sex;пол, разделение по полу;0;0;;;
西洋;2;せい・よう;the Western countries;Запад;0;0;;;
席;2;せき;a seat;место;0;0;;;
赤道;4;せき・どう;the equator;экватор;0;0;;;
石油;3;せき・ゆ;petroleum, oil;нефть, керосин;0;0;;;
接する;4;せっ・する;to adjoin;соприкасаться, касаться, граничить, примыкать;0;0;;;
設備;3;せつ・び;equipment;оборудование, устройство, приспособление;0;0;;;
狭い;1;せま・い;narrow, small;узкий, тесный;0;0;;;
線;2;せん;a line;линия;0;0;;;
全員;3;ぜん・いん;all the members;все участники, весь штат, весь личный состав;0;0;;;
先月;1;せん・げつ;last month;прошлый месяц;0;0;;;
洗剤;4;せん・ざい;detergent;моющее средство;0;0;;;
選手;3;せん・しゅ;a player;спортсмен, игрок, член команды;0;0;;;
先週;1;せん・しゅう;last week;прошлая неделя;0;0;;;
先生;1;せん・せい;a teacher;учитель;0;0;;;
全部;1;ぜん・ぶ;all, the whole;все, целиком;0;0;;;
専門;2;せん・もん;a speciality;специальность;0;0;;;
線路;4;せん・ろ;a railroad track;линия, железнодорожный путь;0;0;;;
組織;3;そ・しき;organization;организация, формирование, структура, строение, система, ткань (биол.);0;0;;;
送料;4;そう・りょう;postage;пересылка, плата за пересылку;0;0;;;
速達;4;そく・たつ;express delivery;срочная доставка;0;0;;;
速度;3;そく・ど;speed;скорость;0;0;;;
育てる;2;そだ・てる;to bring up;растить, воспитывать;0;0;;;
多少;3;た・しょう;more or less;много или мало, более или менее, количество, размер, несколько;0;0;;;
出す;1;だ・す;to put out;вынимать,неожиданно начинать делать ч-л;0;0;;;
建つ;4;た・つ;to be built;стоять, подняться, быть воздвигнутым, быть учрежденным;0;0;;;
立つ;1;た・つ;to stand;стоять, вставать;0;0;;;
建てる;2;た・てる;to build;строить;0;0;;;
食べ物;1;た・べ・もの;food;еда;0;0;;;
食べる;1;た・べる;to eat;кушать, есть;0;0;;;
足りる;2;た・りる;to be enough;хватать, быть достаточным;0;0;;;
田んぼ;4;た・んぼ;a rice field;рисовое поле, ферма;0;0;;;
台;3;だい;a table, a platform;подставка , стойка, стеллаж, опора, рама, сч. суф. для автомашин, станков;0;0;;;
体育;3;たい・いく;physical exercises;физическое воспитание, физкультура;0;0;;;
第一;4;だい・いち;No. 1;первый, самый, номер один;0;0;;;
大学;1;だい・がく;a university;университет;0;0;;;
大学院;4;だい・がく・いん;a graduate school;аспирантура;0;0;;;
大使;3;たい・し;an ambassador;посол;0;0;;;
大使館;1;たい・し・かん;an embassy;посольство;0;0;;;
台所;1;だい・どころ;a kitchen;кухня;0;0;;;
台風;2;たい・ふう;a typhoon;тайфун;0;0;;;
大変;3;たい・へん;very, much;серьезный, чрезвычайный, трудный, обременительный, крайне;0;0;;;
題名;4;だい・めい;a title;заглавие;0;0;;;
太陽;3;たい・よう;the sun;солнце;0;0;;;
高い;1;たか・い;high, expensive;высокий, дорогой;0;0;;;
竹;4;たけ;a bamboo;бамбук;0;0;;;
訪ねる;2;たず・ねる;to call on;посещать, навещать;0;0;;;
正しい;2;ただ・しい;correct, right;правильный, честный;0;0;;;
立場;3;たち・ば;a standpoint;место, точка зрения, положение, ситуация;0;0;;;
建物;1;たて・もの;a building;здание, строение;0;0;;;
楽しい;1;たの・しい;enjoyable;приятный;0;0;;;
旅;3;たび;a trip;путешествие, поездка, поход;0;0;;;
試す;3;ため・す;to test;испытывать, проверять;0;0;;;
便り;3;たよ・り;a letter, news;вести, известия, связи;0;0;;;
単位;3;たん・い;a unit;единица измерения, балл;0;0;;;
段階;4;だん・かい;a step, a stage;ступень, стадия, этап;0;0;;;
単語;3;たん・ご;a word;слово, простое несоставное слово;0;0;;;
単数;4;たん・すう;singular number;единственное число;0;0;;;
男性;2;だん・せい;the male;мужской пол;0;0;;;
単に;3;たん・に;only, simply;просто, только;0;0;;;
暖房;2;だん・ぼう;heating;отопление;0;0;;;
地位;3;ち・い;position;общественное положение, статус, должность, расположение;0;0;;;
地下;3;ち・か;underground;подземный;0;0;;;
地下鉄;1;ち・か・てつ;a subway;метро;0;0;;;
地区;3;ち・く;a district;зона, район, участок;0;0;;;
知識;3;ち・しき;knowledge;знание, информация, эрудиция;0;0;;;
地図;1;ち・ず;a map;карта;0;0;;;
地方;3;ち・ほう;a locality, a district;местность, район, округ, провинция, глубинка;0;0;;;
小さな;2;ちい・さな;small;маленький;0;0;;;
近い;1;ちか・い;near;близкий;0;0;;;
違い;3;ちが・い;a difference;отличие, разница, расхождение, ошибка;0;0;;;
違う;1;ちが・う;to be different;отличаться, нет!;0;0;;;
近く;1;ちか・く;near;близко, поблизости;0;0;;;
力;2;ちから;power;сила, энергия;0;0;;;
父;1;ちち;one's own father;отец;0;0;;;
父親;3;ちち・おや;father;отец;0;0;;;
注;3;ちゅう;explanatory notes;примечание, комментарий, пояснение;0;0;;;
昼食;3;ちゅう・しょく;lunch;обед, ланч;0;0;;;
中心;3;ちゅう・しん;the center;центр, середина, сосредоточение, равновесие;0;0;;;
調子;3;ちょう・し;condition, tone;самочувствие, настроение, тон, интонация, тональность, ритм;0;0;;;
長男;4;ちょう・なん;the eldest son;старший сын;0;0;;;
直後;4;ちょく・ご;immediately after;сразу после;0;0;;;
直線;4;ちょく・せん;a straight line;прямая линия;0;0;;;
直流;4;ちょく・りゅう;direct current;постоянный ток;0;0;;;
着く;1;つ・く;to arrive;прибывать, занимать место;0;0;;;
次ぐ;4;つ・ぐ;to be next;следовать за, стоять за;0;0;;;
通信;3;つう・しん;correspondence;связь (напр., телефонная), переписка, корреспонденция, сообщение, информация;0;0;;;
通路;4;つう・ろ;a passage;проход, дорога, путь;0;0;;;
使う;1;つか・う;to use, to employ;использовать, применять;0;0;;;
疲れ;3;つか・れ;tiredness;усталость, утомление;0;0;;;
疲れる;1;つか・れる;to be tired;уставать;0;0;;;
月;2;つき;the moon, a month;луна, месяц;0;0;;;
作る;1;つく・る;to make;делать, изготовлять;0;0;;;
伝える;2;つた・える;to transmit;передавать (информацию);0;0;;;
土;3;つち;the ground;земля, грунт, грязь, глина;0;0;;;
続く;2;つづ・く;to continue;продолжаться, следовать;0;0;;;
続ける;2;つづ・ける;to continue (something);продолжать;0;0;;;
妻;2;つま;one's wife;жена;0;0;;;
冷たい;1;つめ・たい;cold, cool;холодный;0;0;;;
強い;1;つよ・い;strong;сильный;0;0;;;
手;1;て;a hand;рука;0;0;;;
手紙;1;て・がみ;a letter;письмо;0;0;;;
出口;1;で・ぐち;an exit;выход;0;0;;;
手伝う;2;て・つだ・う;to help, to assist;помогать в ч-л;1;0;;;
出る;1;で・る;to come out;выходить, появляться;0;0;;;
定員;4;てい・いん;an admission limit;штат, штатный состав, установленное число;0;0;;;
定期;3;てい・き;a commuter's pass;установленный срок;0;0;;;
鉄;3;てつ;iron;железо;0;0;;;
鉄橋;4;てっ・きょう;an iron bridge;железнодорожный мост, железный мост;0;0;;;
鉄道;3;てつ・どう;a railroad;железная дорога;0;0;;;
寺;2;てら;a temple;буддийский храм;0;0;;;
点;2;てん;a point;точка, балл, пятно, дефект, пункт;0;0;;;
店員;2;てん・いん;a store clerk;продавец;0;0;;;
天気;1;てん・き;weather;погода;0;0;;;
伝記;4;でん・き;a biography;биография;0;0;;;
電気;1;でん・き;electricity, an electric light;электричество, свет;0;0;;;
天気予報;2;てん・き・よ・ほう;a weather forecast;прогноз погоды;0;0;;;
電車;1;でん・しゃ;an electric train;электричка;0;0;;;
点数;4;てん・すう;the number of points;оценки, баллы, очки;0;0;;;
電報;2;でん・ぽう;a telegram;телеграмма;0;0;;;
